,DistrictA,DistrictB,distance_between,spatial_relation
0,D1,D1,0.0,western
1,D1,D2,40339.774066380975,western
2,D1,D3,0.0,southwestern
3,D1,D4,20640.973226412258,western
4,D1,D5,35773.218365865316,western
5,D1,D6,0.0,southern
6,D1,D7,0.0,western
7,D1,D8,0.0,southern
8,D1,D9,10970.684366208787,northwestern
9,D1,D10,2020.442239270176,western
10,D1,D11,26688.56439247767,western
11,D1,D12,17375.611458890624,western
12,D1,D13,27175.148250837694,northeastern
13,D1,D14,68436.93991039856,northern
14,D1,D15,0.0,northeastern
15,D1,D16,45281.11427903713,southern
16,D1,D17,0.0,northeastern
17,D1,D18,58324.51558293599,northern
18,D1,D19,29492.58930792761,northern
19,D1,D20,78576.66863325755,southern
20,D1,D21,63534.08480058227,western
21,D1,D22,119504.67839614919,western
22,D1,D23,74709.90609721128,southern
23,D1,D24,102702.15460370468,western
24,D1,D25,46828.161274568585,southwestern
25,D1,D26,96417.6689445657,western
26,D1,D27,23544.46038755874,western
27,D1,D28,44871.327759338594,western
28,D1,D29,59716.89608823984,western
29,D1,D30,89755.43843623906,southwestern
30,D1,D31,42650.241752526395,western
31,D1,D32,67160.52390704579,western
32,D1,D33,41447.464517034634,western
33,D1,D34,81688.91216037249,western
34,D1,D35,93313.56400989612,western
35,D1,D36,64991.38964429826,western
36,D1,D37,89187.18297585782,western
37,D1,D38,50633.6461249054,western
38,D1,D39,69553.68569671246,western
39,D1,D40,96578.80642702259,western
40,D1,D41,53333.54969487544,western
41,D1,D42,50080.30920531236,western
42,D1,D43,62898.938343132366,western
43,D1,D44,73757.58009610084,western
44,D1,D45,72337.39346974151,western
45,D1,D46,60614.209834783636,western
46,D1,D47,49680.238256818295,western
47,D1,D48,61971.59372785397,northwestern
48,D1,D49,32898.004612970384,western
49,D1,D50,61968.58567248292,northwestern
50,D1,D51,43786.3598172916,northwestern
51,D1,D52,28314.437788736137,northwestern
52,D2,D1,40339.774066380975,eastern
53,D2,D2,0.0,western
54,D2,D3,72198.64166985035,southeastern
55,D2,D4,16414.717333153127,southeastern
56,D2,D5,0.0,southern
57,D2,D6,55041.732215438955,southern
58,D2,D7,24008.93324466888,southeastern
59,D2,D8,37027.53064416468,southern
60,D2,D9,28372.99145493174,eastern
61,D2,D10,9716.548246133896,eastern
62,D2,D11,6399.527881804844,southeastern
63,D2,D12,1522.4200220267032,eastern
64,D2,D13,100153.53404484068,eastern
65,D2,D14,113198.08119159596,northeastern
66,D2,D15,79083.64497227345,eastern
67,D2,D16,88576.1413518959,southern
68,D2,D17,111518.07949041594,eastern
69,D2,D18,99456.63688115237,northeastern
70,D2,D19,70109.86062471256,eastern
71,D2,D20,55205.0758291496,southern
72,D2,D21,50947.75608498244,southern
73,D2,D22,89608.32440528832,southwestern
74,D2,D23,81072.72958444004,southern
75,D2,D24,66662.7493358164,southwestern
76,D2,D25,63687.678246611875,southern
77,D2,D26,69735.66081639023,southwestern
78,D2,D27,30324.561035786526,southeastern
79,D2,D28,38330.75541763239,southern
80,D2,D29,45499.95046522334,southern
81,D2,D30,82006.79498947962,southwestern
82,D2,D31,31195.514198904835,southern
83,D2,D32,28911.69920670204,southwestern
84,D2,D33,21190.109102957536,southern
85,D2,D34,34870.66641672282,western
86,D2,D35,43471.58810576852,western
87,D2,D36,14374.54683141974,western
88,D2,D37,43374.774994232575,western
89,D2,D38,3740.60078372987,southwestern
90,D2,D39,17989.600467536726,western
91,D2,D40,52891.390425087506,southwestern
92,D2,D41,31730.18106786675,southern
93,D2,D42,13611.444459073136,southwestern
94,D2,D43,14437.235433528827,western
95,D2,D44,34891.62223225275,southwestern
96,D2,D45,21477.846161521058,western
97,D2,D46,8764.702881610488,western
98,D2,D47,0.0,western
99,D2,D48,25300.096016060797,northwestern
100,D2,D49,0.0,northern
101,D2,D50,49390.16540832558,northeastern
102,D2,D51,37588.98551568028,northeastern
103,D2,D52,14053.776862226376,northeastern
104,D3,D1,0.0,northeastern
105,D3,D2,72198.64166985035,northwestern
106,D3,D3,0.0,western
107,D3,D4,38871.81563218329,northwestern
108,D3,D5,63918.93249150945,northwestern
109,D3,D6,0.0,southern
110,D3,D7,10493.79551528073,northwestern
111,D3,D8,28566.782103859212,southern
112,D3,D9,59078.902262067815,northwestern
113,D3,D10,46252.86662363813,northwestern
114,D3,D11,39524.1537283691,northwestern
115,D3,D12,53165.9627137227,northwestern
116,D3,D13,75135.55117856732,northeastern
117,D3,D14,114466.22821075593,northern
118,D3,D15,35563.0206019015,northeastern
119,D3,D16,85076.69058628617,southern
120,D3,D17,50978.09008658925,northeastern
121,D3,D18,101599.54930173563,northern
122,D3,D19,63477.806995842344,northern
123,D3,D20,56843.86898598229,southern
124,D3,D21,46820.70065634511,western
125,D3,D22,103570.13225052944,western
126,D3,D23,46597.791488184426,southern
127,D3,D24,96515.64509994914,western
128,D3,D25,13319.068501490468,western
129,D3,D26,78594.44274568278,western
130,D3,D27,4712.730705397919,western
131,D3,D28,30788.029090848955,western
132,D3,D29,53075.854472813546,western
133,D3,D30,66448.65175775481,western
134,D3,D31,46149.05871420402,western
135,D3,D32,68620.82722493618,western
136,D3,D33,49751.47358458532,western
137,D3,D34,92126.8918118748,western
138,D3,D35,108570.17903643432,western
139,D3,D36,88396.06733743682,northwestern
140,D3,D37,92801.84515151585,western
141,D3,D38,69929.36834357402,northwestern
142,D3,D39,98462.42864786842,northwestern
143,D3,D40,94775.21815310957,western
144,D3,D41,52220.46159931209,western
145,D3,D42,62150.677532763846,western
146,D3,D43,81048.67972355855,western
147,D3,D44,70146.09386087487,western
148,D3,D45,85750.83509675093,western
149,D3,D46,85890.3905405174,northwestern
150,D3,D47,76674.69784480004,northwestern
151,D3,D48,102650.02780826896,northwestern
152,D3,D49,69057.84722240684,northwestern
153,D3,D50,109875.6775090483,northwestern
154,D3,D51,92703.43840145897,northwestern
155,D3,D52,77234.00483860618,northwestern
156,D4,D1,20640.973226412258,eastern
157,D4,D2,16414.717333153127,northwestern
158,D4,D3,38871.81563218329,southeastern
159,D4,D4,0.0,western
160,D4,D5,7961.900729078403,northwestern
161,D4,D6,21879.251738972212,southern
162,D4,D7,0.0,eastern
163,D4,D8,19971.717887026472,southern
164,D4,D9,24984.924944841106,northeastern
165,D4,D10,0.0,northeastern
166,D4,D11,0.0,western
167,D4,D12,0.0,northern
168,D4,D13,92459.81496275404,northeastern
169,D4,D14,114145.72515472297,northeastern
170,D4,D15,64228.94838684025,eastern
171,D4,D16,84274.22537009885,southern
172,D4,D17,92675.90442102155,eastern
173,D4,D18,98129.88551926985,northeastern
174,D4,D19,62902.01048495257,northeastern
175,D4,D20,49445.528514290476,southern
176,D4,D21,38963.25612663926,southwestern
177,D4,D22,89497.28118343177,southwestern
178,D4,D23,61156.87041620292,southern
179,D4,D24,69997.23582358193,western
180,D4,D25,35704.03509850183,southwestern
181,D4,D26,70791.21310189573,southwestern
182,D4,D27,5538.663591193283,southern
183,D4,D28,18799.854174401582,southwestern
184,D4,D29,32056.285457927355,southwestern
185,D4,D30,68293.39791439765,southwestern
186,D4,D31,12624.708305977383,southwestern
187,D4,D32,31384.078829867733,western
188,D4,D33,8271.436636264623,western
189,D4,D34,46665.30431396901,western
190,D4,D35,60351.71396980138,western
191,D4,D36,34815.183136085776,western
192,D4,D37,53300.65598981632,western
