,administrativeDistrictA,administrativeDistrictB,distance_between,spatial_relation
0,A1,A1,0.0,northern
1,A1,A2,0.0,northeastern
2,A1,A3,0.0,southwestern
3,A1,A4,0.0,western
4,A2,A1,0.0,southwestern
5,A2,A2,0.0,northern
6,A2,A3,72881.77368574335,southwestern
7,A2,A4,84788.27118903612,western
8,A3,A1,0.0,northeastern
9,A3,A2,72881.77368574335,northeastern
10,A3,A3,0.0,northern
11,A3,A4,0.0,northern
12,A4,A1,0.0,eastern
13,A4,A2,84788.27118903612,eastern
14,A4,A3,0.0,southern
15,A4,A4,0.0,northern
