StartID,EndID
C1,C7
C1,C2
C1,C166
C1,C164
C1,C155
C2,C170
C2,C1
C2,C166
C2,C334
C3,C11
C3,C152
C3,C123
C3,C4
C3,C154
C3,C160
C3,C161
C3,C133
C4,C5
C4,C11
C4,C128
C4,C117
C4,C136
C4,C3
C4,C133
C5,C11
C5,C9
C5,C115
C5,C117
C5,C4
C6,C12
C6,C7
C6,C11
C6,C9
C6,C152
C6,C155
C7,C12
C7,C1
C7,C6
C7,C9
C7,C155
C8,C10
C8,C12
C8,C63
C9,C12
C9,C7
C9,C5
C9,C11
C9,C6
C9,C63
C9,C115
C10,C8
C10,C12
C11,C5
C11,C6
C11,C9
C11,C152
C11,C4
C11,C3
C12,C8
C12,C10
C12,C7
C12,C6
C12,C9
C12,C63
C13,C332
C13,C14
C13,C23
C13,C16
C13,C169
C13,C25
C13,C167
C14,C333
C14,C332
C14,C13
C14,C24
C14,C23
C14,C330
C15,C19
C15,C26
C15,C356
C15,C23
C15,C16
C15,C27
C15,C17
C16,C13
C16,C26
C16,C23
C16,C15
C16,C20
C16,C25
C17,C356
C17,C15
C17,C27
C17,C22
C17,C91
C18,C26
C18,C374
C18,C20
C18,C318
C18,C21
C19,C26
C19,C356
C19,C15
C19,C318
C19,C21
C19,C358
C20,C26
C20,C16
C20,C374
C20,C25
C20,C18
C21,C19
C21,C26
C21,C318
C21,C18
C22,C28
C22,C27
C22,C17
C23,C13
C23,C24
C23,C14
C23,C16
C23,C28
C23,C15
C23,C27
C24,C333
C24,C14
C24,C23
C24,C336
C25,C13
C25,C16
C25,C163
C25,C374
C25,C20
C25,C167
C26,C19
C26,C16
C26,C15
C26,C20
C26,C18
C26,C21
C27,C23
C27,C28
C27,C15
C27,C22
C27,C17
C28,C23
C28,C27
C28,C22
C29,C42
C29,C37
C29,C31
C29,C33
C29,C30
C30,C37
C30,C29
C30,C32
C30,C31
C30,C36
C30,C290
C30,C289
C31,C29
C31,C32
C31,C33
C31,C35
C31,C274
C31,C30
C32,C31
C32,C35
C32,C289
C32,C30
C32,C294
C32,C280
C33,C278
C33,C42
C33,C29
C33,C31
C33,C274
C34,C260
C34,C38
C34,C264
C34,C42
C35,C32
C35,C31
C35,C274
C35,C273
C35,C279
C35,C280
C36,C38
C36,C390
C36,C37
C36,C290
C36,C30
C36,C291
C36,C392
C37,C38
C37,C42
C37,C29
C37,C36
C37,C30
C38,C34
C38,C264
C38,C390
C38,C42
C38,C37
C38,C36
C39,C316
C39,C300
C39,C241
C39,C53
C39,C297
C40,C137
C40,C66
C40,C86
C40,C141
C40,C142
C41,C278
C41,C249
C41,C247
C41,C245
C41,C317
C41,C242
C41,C246
C41,C248
C41,C276
C41,C275
C42,C278
C42,C249
C42,C262
C42,C260
C42,C34
C42,C38
C42,C37
C42,C313
C42,C29
C42,C310
C42,C319
C42,C33
C43,C46
C43,C52
C43,C51
C43,C48
C43,C50
C44,C283
C44,C46
C44,C288
C44,C45
C44,C393
C44,C281
C44,C52
C45,C44
C45,C393
C45,C387
C46,C44
C46,C52
C46,C43
C47,C51
C47,C48
C47,C50
C47,C49
C47,C282
C48,C52
C48,C286
C48,C51
C48,C43
C48,C47
C48,C282
C48,C287
C49,C50
C49,C47
C49,C213
C49,C282
C49,C292
C49,C208
C50,C51
C50,C43
C50,C47
C50,C49
C50,C213
C51,C43
C51,C48
C51,C50
C51,C47
C52,C46
C52,C44
C52,C281
C52,C286
C52,C43
C52,C48
C53,C323
C53,C243
C53,C321
C53,C241
C53,C39
C53,C244
C53,C251
C53,C325
C53,C242
C53,C297
C53,C326
C54,C61
C54,C116
C55,C59
C55,C56
C55,C58
C55,C61
C55,C62
C55,C57
C56,C59
C56,C63
C56,C55
C57,C61
C57,C64
C57,C60
C57,C55
C58,C61
C58,C62
C58,C55
C58,C121
C58,C116
C58,C118
C59,C56
C59,C63
C59,C62
C59,C55
C59,C121
C60,C64
C60,C57
C61,C58
C61,C64
C61,C55
C61,C57
C61,C116
C61,C54
C62,C59
C62,C58
C62,C55
C62,C121
C63,C8
C63,C12
C63,C9
C63,C59
C63,C56
C63,C121
C63,C115
C64,C61
C64,C60
C64,C57
C65,C322
C65,C236
C65,C134
C65,C327
C65,C328
C65,C359
C65,C131
C65,C320
C65,C135
C65,C326
C66,C137
C66,C206
C66,C40
C66,C323
C66,C86
C66,C324
C66,C359
C67,C262
C67,C260
C67,C255
C67,C267
C67,C265
C67,C270
C67,C256
C67,C264
C67,C271
C68,C317
C68,C217
C68,C229
C68,C172
C68,C176
